Journal Title,ISSN,ESSN,RoMEO Record ID,Updated
"Computational Biology and Chemistry",1476-9271,,30,2014-05-16
"Computational Cognitive Science",2195-3961,,948,2013-03-07
"Computational Complexity",1016-3328,1420-8954,74,2014-09-05
"Computational Ecology and Software",,2220-721X,1724,2014-04-08
"Computational Economics",0927-7099,1572-9974,74,2014-09-05
"Computational Geometry",0925-7721,,30,2014-05-16
"Computational Geosciences",1420-0597,1573-1499,74,2014-09-05
"Computational Intelligence",0824-7935,1467-8640,2050,2014-08-28
"Computational Intelligence and Neuroscience",1687-5265,1687-5273,100,2013-03-20
"Computational Linguistics",0891-2017,1530-9312,1123,2013-05-23
"Computational Management Science",1619-697X,1619-6988,74,2014-05-16
"Computational Materials Science",0927-0256,,30,2014-05-16
"Computational Mathematics and Mathematical Physics",0965-5425,1555-6662,141,2012-07-26
"Computational Mathematics and Modeling",1046-283X,1573-837X,74,2014-05-16
"Computational Mechanics",0178-7675,1432-0924,74,2014-09-05
"Computational Methods and Function Theory",1617-9447,2195-3724,74,2014-09-17
"Computational Methods and Function Theory - Springer",1617-9447,2195-3724,74,2014-09-17
"Computational Methods in Applied Mathematics",1609-4840,1609-9389,414,2014-04-01
"Computational Optimization and Applications",0926-6003,1573-2894,74,2014-09-05
"Computational Particle Mechanics",2196-4378,2196-4386,74,2014-09-17
"Computational Science and Discovery",1749-4680,1749-4699,1471,2014-06-03
"Computational Statistics",0943-4062,1613-9658,74,2014-09-05
"Computational Statistics and Data Analysis",0167-9473,,30,2014-08-19
"Computational Thermal Sciences",1940-2503,1940-2554,418,2014-06-03
"Computational Water, Energy, and Environmental Engineering",2168-1562,2168-1570,1018,2013-11-15
"Computer",0018-9162,,38,2014-06-05
"Computer-Aided Civil and Infrastructure Engineering",1093-9687,1467-8667,580,2014-03-18
"Computer-Aided Design",0010-4485,,30,2014-05-16
"Computer-Aided Design and Applications",,1686-4360,76,2014-03-26
"Computer Aided Geometric Design",0167-8396,,30,2014-05-16
"Computer Aided Surgery",1092-9088,1097-0150,1499,2014-03-18
"Computer and Information Science",1913-8989,1913-8997,914,2014-07-28
"Computer Animation and Virtual Worlds",1546-4261,1546-427X,2050,2014-08-28
"Computer Applications in Engineering Education",1061-3773,1099-0542,2050,2014-08-28
"Computer Assisted Language Learning",0958-8221,1744-3210,1140,2014-03-26
"Computer Communications",0140-3664,,30,2014-05-16
"Computer Engineering and Applications Journal",2252-4274,2252-5459,1570,2013-10-08
"Computer Fraud and Security",1361-3723,,30,2014-05-16
"Computer Game Education Review",2151-7223,,594,2011-03-29
"Computer Graphics Forum",0167-7055,1467-8659,580,2014-03-18
"Computer Journal",0010-4620,1460-2067,1472,2014-03-18
"Computer Languages, Systems and Structures",1477-8424,,30,2014-05-16
"Computer Law and Security Review",0267-3649,,30,2014-05-16
"Computer Methods and Programs in Biomedicine",0169-2607,,30,2014-05-16
"Computer Methods in Applied Mechanics and Engineering",0045-7825,,30,2014-05-16
"Computer Methods in Biomechanics and Biomedical Engineering",1025-5842,1476-8259,1141,2014-03-26
"Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization",2168-1163,2168-1171,1141,2014-03-26
"Computer Music Journal",0148-9267,1531-5169,1124,2013-05-23
"Computer Networks",1389-1286,,30,2014-05-16
"Computer Physics Communications",0010-4655,,30,2014-05-16
"Computer Physics Communications Package",0010-4655,,30,2014-05-16
"Computer Science and Application",2161-8801,2161-881X,1326,2012-09-04
"Computer Science Education",0899-3408,1744-5175,1140,2014-03-26
"Computer Science Journal",1508-2806,,984,2011-05-13
"Computer Science - Research and Development",1865-2034,1865-2042,74,2014-05-16
"Computer Science Review",1574-0137,,30,2014-05-16
"Computer Speech and Language",0885-2308,,30,2014-05-16
"Computer Standards and Interfaces",0920-5489,,30,2014-08-19
"Computer Supported Cooperative Work",0925-9724,1573-7551,74,2014-09-05
"Computer Technology and Application",1934-7332,1934-7340,1203,2014-08-08
"Computer Vision and Image Understanding",1077-3142,,30,2014-05-16
"Computerized Medical Imaging and Graphics",0895-6111,1879-0771,30,2014-05-16
"Computers",,2073-431X,487,2012-02-29
"Computers and Chemical Engineering",0098-1354,,30,2014-08-19
"Computers and Composition",8755-4615,,30,2014-05-16
"Computers and Education",0360-1315,,30,2014-08-19
"Computers and Electrical Engineering",0045-7906,,30,2014-08-19
"Computers and Electronics in Agriculture",0168-1699,,30,2014-05-16
"Computers and Fluids",0045-7930,,30,2014-08-19
"Computers and Geosciences",0098-3004,,30,2014-08-19
"Computers and Geotechnics",0266-352X,,30,2014-05-16
"Computers and Graphics",0097-8493,,30,2014-08-19
"Computers and Industrial Engineering",0360-8352,,30,2014-08-19
"Computers and Mathematics with Applications",0898-1221,,30,2014-08-19
"Computers and Operations Research",0305-0548,,30,2014-08-19
"Computers and Security",0167-4048,,30,2014-08-19
"Computers and Structures",0045-7949,,30,2014-08-19
"Computers and the Humanities",0010-4817,1572-8412,74,2014-05-16
"Computers, Environment and Urban Systems",0198-9715,,30,2014-05-16
"Computers in Biology and Medicine",0010-4825,,30,2014-05-16
"Computers in Education Journal",1069-3769,,640,2010-11-09
"Computers in Human Behavior",0747-5632,,30,2014-05-16
"Computers in Industry",0166-3615,,30,2014-05-16
"Computers in the Schools",0738-0569,1528-7033,1140,2014-03-26
"Computers, Informatics, Nursing",1538-2931,1538-9774,48,2013-10-23
"Computing",0010-485X,1436-5057,74,2014-09-05
"Computing and Visualization in Science",1432-9360,1433-0369,74,2014-05-16
"Computing in Science and Engineering",1521-9615,,38,2014-06-05
"Comunicação & Cultura",1646-4877,,890,2010-11-22
"Comunicació. Revista de recerca i d'anàlisi",2014-0304,2014-0444,777,2012-11-20
"Comunicación y Ciudadanía",2027-2197,2346-2086,1597,2014-07-25
"Comunicações Geológicas",1647-581X,,1154,2011-12-13
"Comunicações. Série de Ciências Agrárias",0871-1763,,853,2010-11-22
"Comunicações. Série de Ciências Biológicas",0871-1755,,853,2010-11-22
"Comunicações. Série de Ciências da Terra",0871-1798,,853,2010-11-22
"Comunicações. Série de Ciências Etnológicas e Etno-Museológicas",0871-178X,,853,2010-11-22
"Comunicações. Série de Engenharia Geográfica",0871-1747,,853,2010-11-22
"Comunicar",1134-3478,1988-3293,1005,2014-05-28
"Comunicazione politica",1594-6061,1972-5094,1205,2012-03-15
"Con A de animación",,2173-3511,1426,2013-01-30
"Con-texto",0123-6458,2346-2078,1597,2014-07-25
"Concepts and Transformation",1384-6639,1569-9692,372,2010-08-24
"Concepts in Magnetic Resonance Part A: Bridging Education and Research",1546-6086,1552-5023,2050,2014-08-28
"Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering",1552-5031,1552-504X,2050,2014-08-28
"Concrete and Reinforced Concrete Structures",0005-9900,1437-1006,1390,2013-07-30
"Concrete International",0162-4075,,428,2014-09-18
"Concurrency and Computation: Practice and Experience",1532-0626,1532-0634,2050,2014-08-28
"Concurrent Engineering: Research and Applications",1063-293X,1531-2003,65,2013-03-11
"Condor",0010-5422,1938-5129,107,2013-11-27
"Conexão",1677-0943,2178-2687,1693,2013-10-28
"Conexión Agropecuaria JDC",2248-7735,2322-7311,1614,2013-08-13
"Confero",,2001-4562,1656,2013-09-24
"Configurations",1063-1801,1080-6520,96,2014-02-03
"Confins",,1958-9212,1161,2013-03-15
"Conflict and Health",,1752-1505,22,2013-02-25
"Conflict and Society",2164-4543,2164-4551,281,2014-04-15
"Conflict Management and Peace Science",0738-8942,1549-9219,65,2013-04-03
"Conflict Resolution Quarterly",1536-5581,1541-1508,1499,2014-03-18
"Conflict, Security and Development",1467-8802,1478-1174,1140,2014-03-26
"Confluentes Mathematici",1793-7442,1793-7434,155,2014-10-29
"Conformal Geometry and Dynamics",1088-4173,,83,2011-01-06
"Confraternitas",1180-0682,,715,2010-11-09
"Congenital Anomalies",0914-3505,1741-4520,2050,2014-08-28
"Congenital Heart Disease",1747-079X,1747-0803,2050,2014-08-28
"Congestive Heart Failure",1527-5299,1751-7133,580,2014-03-18
"Congress and the Presidency: A Journal of Capital Studies",0734-3469,1944-1053,1600,2014-03-26
"Congress on Research in Dance",,2049-1255,2130,2014-10-09
"Conjectura: filosofia e educação",0103-1457,,1693,2013-10-28
"Connection Science",0954-0091,1360-0494,1141,2014-03-26
"Connective Tissue Research",0300-8207,1607-8438,348,2013-10-29
"Conrad Studies",1872-1737,,143,2010-07-19
"Conradian",0951-2314,,143,2010-07-19
"Cons-Ciências",1645-6564,,845,2010-11-22
"Consciousness and Cognition",1053-8100,,30,2014-05-16
"Consciousness and Emotion",1566-5836,1569-9706,372,2010-08-24
"Consciousness, Literature and the Arts",1573-2193,,143,2010-07-19
"Conservation",1936-2145,1936-6779,1499,2014-03-18
"Conservation and Management of Archaeological Sites",1350-5033,1753-5522,121,2014-01-22
"Conservation and Society",0972-4923,0975-3133,89,2014-08-26
"Conservation Biology",0888-8892,1523-1739,2050,2014-08-28
"Conservation Genetics",1566-0621,1572-9737,74,2014-09-05
"Conservation Genetics Resources",1877-7252,1877-7260,74,2014-09-05
"Conservation Letters",,1755-263X,2050,2014-08-28
"Conservation Physiology",,2051-1434,1337,2013-04-22
"Constellations",1351-0487,1467-8675,2052,2014-08-28
"Constitutional Political Economy",1043-4062,1572-9966,74,2014-09-08
"Constraints",1383-7133,1572-9354,74,2014-09-08
"Construct!",1547-8971,,632,2011-08-12
"Construction and Building Materials",0950-0618,,30,2014-05-16
"Construction Innovation: Information, Process, Management",1471-4175,,31,2014-09-15
"Construction Lawyer",0272-0116,,632,2011-08-12
"Construction Management and Economics",0144-6193,1466-433X,1139,2014-03-26
"Construction Science",,2255-8551,1851,2014-04-11
"Constructions and Frames",1876-1933,1876-1941,372,2010-08-24
"Constructive Approximation",0176-4276,1432-0940,74,2014-09-08
"Consulting Psychology Journal: Practice and Research",1065-9293,1939-0149,12,2011-03-18
"Consumer Credit Regulation in South Africa",,2309-9690,1900,2014-05-01
"Consumption, Markets and Culture",1025-3866,1477-223X,193,2014-03-26
"Consumption Tax Trends",1562-8752,1999-0979,725,2011-02-02
"Contabilidade, Gestão e Governança",,1984-3925,1349,2012-09-17
"Contact Dermatitis",0105-1873,1600-0536,2050,2014-08-28
"Contact Lens and Anterior Eye",1367-0484,,30,2014-05-16
"Contemporanea",1127-3070,,1205,2012-03-15
"Contemporanea, Rivista di studi sulla letteratura e sulla comunicazione",1724-6105,1824-355X,774,2013-02-28
"Contemporaneity: Historical Presence in Visual Culture",,2153-5914,981,2014-06-02
"Contemporary Accounting Research",0823-9150,1911-3846,646,2011-01-26
"Contemporary Aesthetics",,1932-8478,1971,2014-06-10
"Contemporary Arab Affairs",1755-0912,1755-0920,1140,2014-03-26
"Contemporary British History",1361-9462,1743-7997,1140,2014-03-26
"Contemporary Buddhism",1463-9947,1476-7953,1140,2014-03-26
"Contemporary Chinese Thought",1097-1467,,628,2010-08-09
"Contemporary Cinema",1572-3070,,143,2010-07-19
"Contemporary Clinical Dentistry",0976-237X,0976-2361,89,2014-08-26
"Contemporary Clinical Trials",1551-7144,,30,2014-05-16
"Contemporary Diagnostic Radiology",0149-9009,,48,2013-10-23
"Contemporary Economic Policy",1074-3529,1465-7287,1499,2014-03-18
"Contemporary Education Dialogue",0973-1849,2249-5320,65,2013-03-11
"Contemporary Educational Psychology",0361-476X,,30,2014-05-16
"Contemporary Engineering Sciences",,1313-6569,1837,2014-05-15
"Contemporary European History",0960-7773,1469-2171,2128,2014-10-07
"Contemporary Family Therapy",0892-2764,1573-3335,74,2014-09-08
"Contemporary French and Francophone Studies",1740-9292,1740-9306,1140,2014-03-26
"Contemporary French Civilization",0147-9156,2044-396X,620,2013-08-19
"Contemporary Hypnosis",0960-5290,1557-0711,1499,2014-03-18
"Contemporary Islam",1872-0218,1872-0226,74,2014-09-08
"Contemporary Islamic Studies",2220-2757,,1007,2011-05-26
"Contemporary Issues in Early Childhood",,1463-9491,225,2013-03-12
"Contemporary Issues in Education Research",1940-5847,1941-756X,1513,2013-04-16
"Contemporary Issues In Law",1357-0374,,619,2013-03-13
"Contemporary Issues in Technology and Teacher Education",1528-5804,,99,2010-08-03
"Contemporary Italian Politics",2324-8823,2324-8831,1142,2014-03-26
"Contemporary Japan",1869-2729,1869-2737,414,2014-04-01
"Contemporary Jewry",0147-1694,1876-5165,74,2014-05-16
"Contemporary Justice Review",1028-2580,1477-2248,1140,2014-03-26
"Contemporary Literature",,1548-9949,1243,2014-08-08
"Contemporary Music Review",0749-4467,1477-2256,1140,2014-03-26
"Contemporary Neurosurgery",0163-2108,,48,2013-10-23
"Contemporary Nurse",1037-6178,,553,2012-03-02
"Contemporary OB/GYN",0090-3159,2150-6264,1060,2012-01-18
"Contemporary Organic Synthesis",1350-4894,,63,2013-03-21
"Contemporary Pacific",1043-898X,1527-9464,136,2014-01-14
"Contemporary Pediatrics",8750-0507,2150-6345,1060,2013-01-29
"Contemporary Physics",0010-7514,1366-5812,1141,2014-03-26
"Contemporary Political Theory",1470-8914,1476-9336,210,2013-07-29
"Contemporary Politics",1356-9775,1469-3631,1140,2014-03-26
"Contemporary Pragmatism",1572-3429,,143,2010-07-19
"Contemporary Problems of Ecology",1995-4255,1995-4263,141,2012-07-26
"Contemporary Psychoanalytic Studies",1571-4977,,143,2010-07-19
"Contemporary Psychology: APA Review of Books",1554-0138,,12,2011-03-18
"Contemporary School Psychology",2159-2020,2161-1505,74,2014-09-17
"Contemporary Security Policy",1352-3260,1743-8764,1140,2014-03-26
"Contemporary Social Science",2158-2041,2158-205X,1140,2014-03-26
"Contemporary Sociology",0094-3061,1939-8638,18,2011-05-13
"Contemporary South Asia",0958-4935,1469-364X,1140,2014-03-26
"Contemporary Spine Surgery",1527-4268,,48,2013-10-23
"Contemporary Theatre Review",1048-6801,1477-2264,1140,2014-03-26
"Contemporary Women's Writing",1754-1476,1754-1484,1480,2013-03-26
"Contents Pages in Education",0265-9220,,193,2014-03-26
"Contexto",,0123-6458,1597,2014-07-25
"Contexto - Revista do Programa de Pós-Graduação em Letras",,1519-0544,1345,2012-09-19
"Contextos Educativos Revista de Educación",1575-023X,1695-5714,1679,2014-10-24
"Contexts",1536-5042,1537-6052,18,2013-06-07
"Continental Journal of Agricultural Science",2141-4203,,1281,2012-05-09
"Continental Philosophy Review",1387-2842,1573-1103,74,2014-05-16
"Continental Shelf Research",0278-4343,,30,2014-05-16
"Continuing Education in Anaesthesia, Critical Care and Pain",1743-1816,1743-1824,1106,2011-11-16
"Continuing Medical Education",0256-2170,2078-5143,590,2014-07-09
"Continuity and Change",0268-4160,1469-218X,2128,2014-10-07
"Continuum",1030-4312,1469-3666,1140,2014-03-26
"CONTINUUM: Lifelong Learning in Neurology",1080-2371,1538-6899,287,2013-08-13
"Continuum Mechanics and Thermodynamics",0935-1175,1432-0959,74,2014-09-08
"Contraception",0010-7824,,30,2014-05-16
"Contrast Media and Molecular Imaging",1555-4309,1555-4317,2050,2014-08-28
"Contrastes",0213-5477,1989-8339,969,2011-05-25
"COntributions, Section of Natural, Mathematical and Biotechnical Sciences",,1857-9027,2008,2014-10-07
"Contributions to Algebra and Geometry",0138-4821,2191-0383,74,2014-05-30
"Contributions to Geophysics and Geodesy",,1338-0540,1851,2014-04-11
"Contributions to Indian Sociology",0069-9667,0973-0648,65,2013-03-11
"Contributions to Mineralogy and Petrology",0010-7999,1432-0967,74,2014-09-08
"Contributions to Plasma Physics",0863-1042,1521-3986,79,2013-07-30
"Contributions to Political Economy",0277-5921,1464-3588,1480,2013-03-26
"Contributions to Science",1575-6343,,777,2012-11-20
"Contributions to the History of Concepts",1807-9326,1874-656X,281,2014-04-15
"Contributions to Tobacco Research",,1612-9237,1851,2014-04-10
"Control and Intelligent Systems",1480-1752,1925-5810,483,2012-01-18
"Control Engineering Practice",0967-0661,,1637,2013-09-03
"Controlling and Management",1614-1822,1864-5410,74,2014-05-16
"Convergence",1354-8565,1748-7382,65,2013-03-11
"Convergências",,1646-9054,861,2011-07-04
"Conversas and Controvérsias",,2178-5694,1224,2012-04-23
"Conversations in Religion and Theology",1479-2206,1479-2214,1499,2014-03-18
"Cooperation and Conflict",0010-8367,1460-3691,65,2013-03-11
"Coordination Chemistry Reviews",0010-8545,,30,2014-05-16
"COPD: Journal of Chronic Obstructive Pulmonary Disease",1541-2555,1541-2563,348,2013-10-29
"Copeia",0045-8511,,941,2011-02-07
"Copernican Journal of Finance and Accounting",,2300-3065,1963,2014-06-27
"Cor et Vasa",0010-8650,,30,2014-05-16
"Coral Reefs",0722-4028,1432-0975,74,2014-09-08
"CORD Conference Proceedings",2049-1255,,2130,2014-10-09
"Core Evidence",1555-1741,1555-175X,407,2014-01-30
"Core Journals in Cardiology",0165-9405,,30,2014-05-16
"Core Journals in Clinical Neurology",0165-1056,,30,2014-05-16
"Core Journals in Dermatology",0167-5796,,30,2014-05-16
"Core Journals in Gastroenterology",0165-8719,,30,2014-05-16
"Core Journals in Obstetrics/Gynecology",0376-5059,,30,2014-05-16
"Core Journals in Ophthalmology",0165-1005,,30,2014-05-16
"Core Journals in Pediatrics",0376-5040,,30,2014-05-16
"Cornea",0277-3740,1536-4798,48,2013-10-23
"Cornell Hospitality Quarterly",1938-9655,1938-9663,65,2013-03-11
"Coronary Artery Disease",0954-6928,1473-5830,48,2013-10-23
"Corpo Clip",0843-140X,,662,2012-01-13
"Corpora",1749-5032,1755-1676,266,2014-06-16
"Corporate Communications: An International Journal",1356-3289,,31,2014-09-15
"Corporate Governance",0964-8410,1467-8683,2052,2014-08-28
"Corporate Philanthropy Report",,1949-3207,1499,2014-03-18
"Corporate Real Estate Journal",2043-9148,2043-9156,347,2013-03-14
"Corporate Report Eastern Cape Proviincial",2222-3894,,1900,2014-05-01
"Corporate Reputation Review",1363-3589,1479-1889,210,2013-07-29
"Corporate Social Responsibility and Environmental Management",1535-3958,1535-3966,2052,2014-08-28
"Corpus Linguistics and Linguistic Theory",1613-7027,1613-7035,414,2014-04-01
"Corrientes",1892-039X,,1207,2012-03-16
"Corrosão e Protecção de Materiais",0870-1164,,1155,2011-12-13
"Corrosion Engineering, Science and Technology",1478-422X,1743-2782,121,2014-01-22
"Corrosion Reviews",0048-7538,,552,2011-05-18
"Corrosion Science",0010-938X,,30,2014-05-16
"Cortex",0010-9452,,30,2014-05-16
"Cosmetics",,2079-9284,487,2013-06-21
"Cosmic Research",0023-4206,1608-3075,141,2012-07-26
"Cosmopolitan Civil Societies: An Interdisciplinary Journal",,1837-5391,1946,2014-07-31
"COSMOS",0219-6077,1793-7051,155,2014-10-29
"COSPAR Information Bulletin",0045-8732,,30,2014-05-16
"Cost Effectiveness and Resource Allocation",,1478-7547,22,2013-02-25
"Costerus NS",0165-9618,,143,2010-07-19
"Costume",0590-8876,1749-6306,121,2014-01-22
"Cough",,1745-9974,22,2013-02-25
"Council on Anthropology and Education Quarterly",,1937-4399,580,2014-03-18
"Council on Undergraduate Research Quarterly",1072-5830,,1757,2014-01-03
"Counseling and Values",0160-7960,2161-007X,2052,2014-08-11
"Counseling Outcome Research and Evaluation",2150-1378,2150-1386,65,2013-03-11
"Counseling Psychologist",0011-0000,1552-3861,65,2013-03-11
"Counselling and Psychotherapy Research",1473-3145,1746-1405,1139,2014-03-26
"Counselling Psychology Quarterly",0951-5070,1469-3674,1139,2014-03-26
"Counselor Education and Supervision",0011-0035,1556-6978,2052,2014-08-11
"Couple and Family Psychology: Research and Practice",2160-4096,2160-410X,12,2011-03-31
"Course of Study",1545-5890,,77,2014-02-24
"CPA Journal",0732-8435,,240,2010-09-02
"CPT: Pharmacometrics and Systems Pharmacology",,2163-8306,1459,2013-03-06
"craft + design enquiry",2200-6931,1837-445X,1514,2013-04-16
"Craft Research",2040-4689,,409,2013-03-13
"Craniomaxillofacial Trauma and Reconstruction",1943-3875,1943-3883,366,2014-05-28
"Creative and Knowledge Society",,1338-5283,1851,2014-04-11
"Creative Approaches to Research",,1835-9442,581,2011-01-06
"Creative Education",2151-4755,2151-4771,1018,2013-11-15
"Creative Industries Journal",1751-0694,,409,2013-03-13
"Creativity and Innovation Management",0963-1690,1467-8691,2052,2014-08-28
"Creativity Research Journal",1040-0419,1532-6934,1140,2014-03-26
"Credit",2168-586X,2168-5886,1326,2012-09-04
"Creditor Reporting System",2218-0893,2218-0907,725,2011-02-02
"Cretaceous Research",0195-6671,,30,2014-05-16
"Crime and Delinquency",0011-1287,1552-387X,65,2013-03-11
"Crime and Justice",0192-3234,2153-0416,77,2014-02-24
"Crime, Law and Social Change",0925-4994,1573-0751,74,2014-09-08
"Crime, Media, Culture",1741-6590,1741-6604,65,2013-03-11
"Crime Prevention and Community Safety",1460-3780,1743-4629,210,2013-07-29
"Crime Science",2193-7680,,948,2013-03-07
"Criminal Behaviour and Mental Health",0957-9664,1471-2857,2052,2014-08-28
"Criminal Justice",0887-7785,,632,2011-08-12
"Criminal Justice Abstracts",0146-9177,1551-1685,65,2013-03-11
"Criminal Justice and Behavior",0093-8548,1552-3594,65,2013-03-11
"Criminal Justice Ethics",0731-129X,1937-5948,1140,2014-03-26
"Criminal Justice Matters",0962-7251,1934-6220,1140,2014-03-26
"Criminal Justice Policy Review",0887-4034,1552-3586,65,2013-03-11
"Criminal Justice Review",0734-0168,1556-3839,65,2013-03-11
"Criminal Justice Studies",1478-601X,1478-6028,1140,2014-03-26
"Criminal Law and Philosophy",1871-9791,1871-9805,74,2014-05-16
"Criminal Law Forum",1046-8374,1572-9850,74,2014-05-16
"Criminal Law Journal",1321-6562,,164,2013-03-18
"Criminology",0011-1384,1745-9125,2052,2014-08-28
"Criminology and Criminal Justice",1748-8958,1748-8966,65,2013-03-11
"Criminology and Public Policy",1538-6473,1745-9133,2052,2014-08-28
"Crisis Communications",2194-9794,,948,2013-03-07
"Crisis - The Journal of Crisis Intervention and Suicide Prevention",0227-5910,,165,2011-11-14
"Criterio Libre",1900-0642,2323-0886,1593,2013-08-15
"Critica Sociologica",0011-1546,1972-5914,774,2013-02-28
"Critical African Studies",2168-1392,2040-7211,1140,2014-03-26
"Critical Animal Studies",2212-4950,2212-4969,143,2012-03-05
"Critical Approaches to Ethnic American Literature",1871-6067,,143,2010-07-19
"Critical Arts: A Journal of South-North Cultural Studies",0256-0046,1992-6049,1140,2014-03-26
"Critical Asian Studies",1467-2715,1472-6033,1140,2014-03-26
"Critical Care",1574-4280,1875-7081,1298,2014-10-10
"Critical Care and Resuscitation",1441-2772,,150,2011-01-31
"Critical Care Clinics",0749-0704,,985,2014-01-07
"Critical Care Medicine",0090-3493,1530-0293,48,2013-10-23
"Critical Care Nurse",0279-5442,1940-8250,663,2011-07-22
"Critical Care Nursing Clinics of North America",0899-5885,,985,2014-01-07
"Critical Care Nursing Quarterly",0887-9303,1550-5111,48,2013-10-23
"Critical Care Research and Practice",2090-1305,2090-1313,100,2013-03-20
"Critical Criminology",1205-8629,1572-9877,74,2014-05-16
"Critical Discourse Studies",1740-5904,1740-5912,1140,2014-03-26
"Critical Horizons",1440-9917,1568-5160,121,2014-01-22
"Critical Inquiry",0093-1896,1539-7858,77,2014-02-24
"Critical Inquiry in Language Studies",1542-7587,1542-7595,1600,2014-03-26
"Critical Pathways in Cardiology: A Journal of Evidence-Based Medicine",1535-282X,1535-2811,48,2013-10-23
"Critical Perspectives On Accounting",1045-2354,,30,2014-05-16
"critical perspectives on international business",1742-2043,,31,2014-09-15
"Critical Plant Studies: Philosophy, Literature, Culture",2213-0659,2213-0667,143,2012-04-13
"Critical Policy Studies",1946-0171,1946-018X,1140,2014-03-26
"Critical Posthumanisms",1872-0943,,143,2010-07-19
"Critical Public Health",0958-1596,1469-3682,1139,2014-03-26
"Critical Quarterly",0011-1562,1467-8705,2052,2014-08-28
"Critical Research on Religion",2050-3032,2050-3040,65,2013-08-13
"Critical Review",0891-3811,1933-8007,1140,2014-03-26
"Critical Review in Oncogenesis",0893-9675,2162-6448,418,2014-06-03
"Critical Review of International Social and Political Philosophy",1369-8230,1743-8772,1140,2014-03-26
"Critical Reviews in Analytical Chemistry",1040-8347,1547-6510,1141,2014-03-26
"Critical Reviews in Biochemistry and Molecular Biology",1040-9238,1549-7798,348,2013-10-29
"Critical Reviews in Biomedical Engineering",0278-940X,1943-619X,418,2014-06-03
"Critical Reviews in Biotechnology",0738-8551,1549-7801,348,2013-10-29
"Critical Reviews in Clinical Laboratory Sciences",1040-8363,1549-781X,348,2013-10-29
"Critical Reviews in Computed Tomography",1040-8371,1549-7844,348,2013-10-29
"Critical Reviews in Environmental Science and Technology",1064-3389,1547-6537,1141,2014-03-26
"Critical Reviews in Eukaryotic Gene Expression",1045-4403,2162-6502,418,2014-06-03
"Critical Reviews in Food Science and Nutrition",1040-8398,1549-7852,1141,2014-03-26
"Critical Reviews in Immunology",1040-8401,2162-6472,418,2014-06-03
"Critical Reviews in Microbiology",1040-841X,1549-7828,348,2013-10-29
"Critical Reviews in Neurobiology",0892-0915,,418,2014-06-03
"Critical Reviews in Neurosurgery",0939-0146,1433-0377,74,2014-05-16
"Critical Reviews in Oncology/Hematology",1040-8428,,30,2014-05-16
"Critical Reviews in Physical and Rehabilitation Medicine",0896-2960,2162-6553,418,2014-06-03
"Critical Reviews in Plant Sciences",0735-2689,1549-7836,1141,2014-03-26
"Critical Reviews in Solid State and Materials Sciences",1040-8436,1547-6561,1141,2014-03-26
"Critical Reviews in Therapeutic Drug Carrier Systems",0743-4863,2162-660X,418,2014-06-03
"Critical Reviews in Toxicology",1040-8444,1547-6898,348,2013-10-29
"Critical Social Policy",0261-0183,1461-703X,65,2013-03-11
"Critical Sociology",0896-9205,1569-1632,65,2013-03-11
"Critical Studies",0923-411X,,143,2010-07-19
"Critical Studies in Education",1750-8487,1750-8495,1140,2014-03-26
"Critical Studies in Fashion and Beauty",2040-4417,,409,2013-03-13
"Critical Studies in Media Communication",1529-5036,1479-5809,1140,2014-03-26
"Critical Studies in Teaching and Learning",,2310-7103,1744,2014-01-02
"Critical Studies in Television",1749-6020,1749-6039,575,2014-02-25
"Critical Studies on Security",2162-4887,2162-4909,1140,2014-03-26
"Critical Studies on Terrorism",1753-9153,1753-9161,1140,2014-03-26
"Critical Survey",0011-1570,1752-2293,281,2014-04-15
"Critical Ultrasound Journal",2036-7902,2036-7902,948,2013-03-07
"Criticism",0011-1589,,790,2013-09-06
"Critique",0011-1619,1939-9138,1140,2014-03-26
"Critique: Journal of Socialist Theory",0301-7605,1748-8605,1140,2014-03-26
"Critique of Anthropology",0308-275X,1460-3721,65,2013-03-11
"Croatian Journal of Philosophy",1333-1108,1847-6139,1000,2012-03-22
"Cromohs",,1123-7023,1932,2014-05-22
"Crop and Pasture Science",1836-0947,1836-5795,160,2013-09-12
"Crop Protection",0261-2194,,30,2014-05-16
"Crop Science",0011-183X,1435-0653,376,2013-04-09
"Cross Cultural Management: An International Journal",1352-7606,,31,2014-09-15
"Cross-Cultural Research",1069-3971,1552-3578,65,2013-03-11
"Cross/Cultures - Readings in the Post/Colonial Literatures in English",0924-1426,,143,2010-07-19
"Cross-Currents",2158-9666,2158-9674,136,2014-01-14
"CrossCurrents",0011-1953,1939-3881,2052,2014-08-28
"Crossings: Journal of Migration and Culture",2040-4344,,409,2013-03-13
"Crusades",1476-5276,,289,2012-11-23
"Crustaceana",0011-216X,1568-5403,154,2014-08-18
"Cryobiology",0011-2240,,30,2014-05-16
"Cryogenics",0011-2275,,30,2014-05-16
"Cryosphere",1994-0416,1994-0424,185,2011-08-12
"Cryosphere Discussions",1994-0432,1994-0440,185,2011-08-12
"Cryptography and Communications",1936-2447,1936-2455,74,2014-09-08
"Cryptologia",0161-1194,1558-1586,1141,2014-03-26
"Crystal Growth and Design",1528-7483,1528-7505,4,2014-08-07
"Crystal Research and Technology",0232-1300,1521-4079,79,2013-07-30
